time, 0.40, pitch_cmd, 3.943525, roll_cmd, -0.963973, theta, 1.107232, phi, -20.985387, p, 14.488550, q, 17.969465, r, -19.465648
time, 0.49, pitch_cmd, 0.262902, roll_cmd, -0.963973, theta, 6.743316, phi, 17.765937, p, 36.755725, q, 24.961832, r, 16.061069
time, 0.55, pitch_cmd, 1.314508, roll_cmd, 0.087634, theta, 8.700260, phi, 37.482799, p, -45.427482, q, 104.992362, r, 62.381679
time, 0.62, pitch_cmd, 3.943525, roll_cmd, -0.963973, theta, 7.600413, phi, 22.003196, p, -134.442749, q, -57.984733, r, 93.740455
time, 0.68, pitch_cmd, 1.314508, roll_cmd, 0.087634, theta, -4.278636, phi, 22.429164, p, -157.458007, q, -74.580154, r, 177.511444
time, 0.75, pitch_cmd, 0.262902, roll_cmd, -0.963973, theta, -5.611124, phi, 8.646547, p, -110.183204, q, -21.770992, r, -48.206108
time, 0.81, pitch_cmd, 1.314508, roll_cmd, 0.087634, theta, -10.942551, phi, 5.528687, p, 0.488550, q, -5.190840, r, -39.404579
time, 0.88, pitch_cmd, 0.262902, roll_cmd, -6.046738, theta, -9.312310, phi, 6.222308, p, 0.152672, q, 8.045802, r, 11.213741
time, 0.95, pitch_cmd, 0.262902, roll_cmd, 0.087634, theta, -5.599102, phi, 12.214088, p, 24.610687, q, 65.244277, r, 69.618324
time, 1.01, pitch_cmd, 1.314508, roll_cmd, 0.087634, theta, -8.794525, phi, 11.993962, p, -3.305344, q, -36.061069, r, 64.030532
time, 1.08, pitch_cmd, 5.345667, roll_cmd, -4.644596, theta, -11.914202, phi, 17.994802, p, 8.305344, q, 69.893127, r, 108.297706
time, 1.14, pitch_cmd, 1.314508, roll_cmd, 0.087634, theta, 0.535680, phi, 7.906466, p, -4.374046, q, 20.977098, r, 32.893131
time, 1.56, pitch_cmd, 0.262902, roll_cmd, -0.963973, theta, 0.826120, phi, 4.748862, p, -3.335878, q, -1.251908, r, 46.083969
time, 1.63, pitch_cmd, 1.314508, roll_cmd, 0.087634, theta, -1.532841, phi, -2.052285, p, -26.465648, q, 17.564886, r, 7.427481
time, 1.70, pitch_cmd, 0.262902, roll_cmd, -0.963973, theta, -4.170197, phi, 9.374665, p, -66.099235, q, 16.717557, r, -7.015267
time, 1.76, pitch_cmd, 1.314508, roll_cmd, -4.995131, theta, 1.840532, phi, 13.015894, p, -91.893127, q, -29.717557, r, 20.251909
time, 1.83, pitch_cmd, 0.262902, roll_cmd, -0.963973, theta, -1.742945, phi, -24.890241, p, -81.183204, q, 12.977100, r, -41.923664
time, 1.90, pitch_cmd, 0.262902, roll_cmd, 0.087634, theta, -2.713089, phi, -34.342662, p, 59.328243, q, 15.656489, r, -20.541984
time, 1.96, pitch_cmd, 6.397274, roll_cmd, -3.417721, theta, -4.877006, phi, -17.072795, p, 172.641220, q, 3.244275, r, 8.366413
time, 2.03, pitch_cmd, 0.262902, roll_cmd, -0.963973, theta, -1.874427, phi, 8.548171, p, 116.091606, q, 11.229008, r, -107.045799
time, 2.44, pitch_cmd, 3.417721, roll_cmd, 0.613437, theta, -6.156859, phi, -1.146951, p, 42.061069, q, -116.412216, r, 11.160305
